,City,Cuisine,Name,Locality,Address,Price range,Cost for two,Currency,User rating,Number of votes,Menu url,ID
0,Rome,"Pizza, Roman, Italian",Grazia & Graziella,Trastevere,"Largo Fumasoni Biondi, 5, Trastevere, Roma 00153",3,40,€,4.6,302,https://www.zomato.com/roma/grazia-graziella-trastevere/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16554743
1,Rome,"Cafe, Ice Cream, Italian, Desserts",Giolitti,Navona - Pantheon,"Via Uffici del Vicario, 38-42, Navona - Pantheon, Roma 00186",3,40,€,4.5,272,https://www.zomato.com/roma/giolitti-navona-pantheon-roma/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16548536
2,Rome,"Pizza, Roman",Baffetto,Navona - Pantheon,"Via del Governo Vecchio, 114, Navona - Pantheon, Roma 00186",3,40,€,4.4,230,https://www.zomato.com/roma/baffetto-navona-pantheon/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16550418
3,Rome,Pizza,Dar Poeta,Trastevere,"Vicolo del Bologna, 45/46, Trastevere, Roma 00153",3,30,€,4.5,193,https://www.zomato.com/roma/dar-poeta-trastevere-roma/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16553765
4,Rome,"Pizza, Italian",Spaghetteria Pizzeria L'Archetto,Fontana di Trevi,"Via dell'Archetto, 26, Fontana di Trevi, Roma 00187",4,50,€,4.1,169,https://www.zomato.com/roma/spaghetteria-pizzeria-l-archetto-fontana-di-trevi-roma/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16553367
5,Rome,"Roman, Pizza, Italian",Cantina e Cucina,Navona - Pantheon,"Via del Governo Vecchio, 87, Navona - Pantheon, Roma 00186",4,60,€,4.9,176,https://www.zomato.com/roma/cantina-e-cucina-navona-pantheon/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16550546
6,Rome,"Ice Cream, Desserts",Pompi Il Regno del Tiramisù,Spagna,"Via della Croce, 82, Spagna, Roma 00187",1,15,€,4.9,172,https://www.zomato.com/roma/pompi-il-regno-del-tiramisu-spagna-roma/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16551423
7,Rome,"Roman, Italian",La Carbonara,Monti,"Via Panisperna, 214, Monti, Roma 00184",4,50,€,4.4,100,https://www.zomato.com/roma/la-carbonara-monti/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16556369
8,Rome,"Burger, Italian",Open Baladin,Campo de' Fiori,"Via degli Specchi, 5/6, Campo de' Fiori, Roma 00186",3,40,€,4.7,156,https://www.zomato.com/roma/open-baladin-campo-de-fiori-roma/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16554451
9,Rome,"Pizza, Street Food",Pinsere,Veneto,"Via Flavia, 98, Veneto, Roma 00187",1,15,€,4.6,52,https://www.zomato.com/roma/pinsere-veneto/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16556179
10,Rome,Ice Cream,Frigidarium - Gelateria Artigianale,Navona - Pantheon,"Via del Governo Vecchio, 112, Navona - Pantheon, Roma 00186",1,6,€,4.9,131,https://www.zomato.com/roma/frigidarium-gelateria-artigianale-navona-pantheon/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16556183
11,Rome,Italian,Pastificio Guerra,Spagna,"Via della Croce, 8, Spagna, Roma 00187",1,10,€,4.3,86,https://www.zomato.com/roma/pastificio-guerra-spagna-roma/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,17759638
12,Rome,"Ice Cream, Crepes, Desserts",La Romana,Veneto,"Via XX Settembre, 60, Veneto, Roma 00187",1,6,€,4.7,126,https://www.zomato.com/roma/la-romana-veneto/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16555920
13,Rome,"Roman, Italian",Roscioli,Campo de' Fiori,"Via dei Giubbonari, 21/22, Campo de' Fiori, Roma 00186",4,70,€,4.5,80,https://www.zomato.com/roma/roscioli-campo-de-fiori-roma/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16554842
14,Rome,"Street Food, Roman",Trapizzino,Testaccio,"Via Giovanni Branca, 88, Testaccio, Roma 00153",1,10,€,4.7,63,https://www.zomato.com/roma/trapizzino-testaccio/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16554873
15,Rome,"Roman, Italian",Da Enzo al 29,Trastevere,"Via dei Vascellari, 29, Trastevere, Roma 00153",4,50,€,4.8,59,https://www.zomato.com/roma/da-enzo-al-29-trastevere/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16553845
16,Rome,"Healthy Food, Cafe, Italian",Ginger,Spagna,"Via Borgognona, 43-46, Spagna, Roma 187",4,60,€,4.1,98,https://www.zomato.com/roma/ginger-spagna-roma/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16550700
17,Rome,"Panini, Healthy Food",200 Gradi,Prati,"Piazza del Risorgimento, 3, Prati, Roma 00192",2,20,€,4.4,100,https://www.zomato.com/roma/200-gradi-prati-roma/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16529800
18,Rome,"Cafe, Desserts",Sant'Eustachio il Caffè,Navona - Pantheon,"Piazza di Sant'Eustachio, 82, Navona - Pantheon, Roma 186",1,15,€,4.4,99,https://www.zomato.com/roma/santeustachio-il-caffe-navona-pantheon-roma/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16553305
19,Rome,"Roman, Pizza, Seafood, Italian",Carlo Menta,Trastevere,"Via della Lungaretta, 101, Trastevere, Roma 00153",4,50,€,3.3,129,https://www.zomato.com/roma/carlo-menta-trastevere/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16554755
20,Rome,"Roman, Italian",Vecchia Roma,Esquilino - Termini,"Via Ferruccio, 12C, Esquilino - Termini, Roma 00185",4,50,€,4.4,71,https://www.zomato.com/roma/vecchia-roma-esquilino-termini-roma/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16554719
21,Rome,"Cafe, Burger, Desserts, Italian",Dolce,Quartiere Africano,"Via Tripolitania, 4, Quartiere Africano, Roma 00199",4,50,€,4.3,77,https://www.zomato.com/roma/dolce-quartiere-africano-roma/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16551070
22,Rome,"Street Food, Pizza",Pizzarium,Trionfale,"Via della Meloria, 43, Trionfale, Roma 00136",2,20,€,4.7,52,https://www.zomato.com/roma/pizzarium-trionfale/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16556414
23,Rome,"Cafe, Desserts, Sicilian",Mizzica,Bologna,"Via Catanzaro, 24-28, Bologna, Roma 00161",1,10,€,4.5,118,https://www.zomato.com/roma/mizzica-bologna/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16548126
24,Rome,"Burger, Grill, Italian",Kilo - Funny Burger,Salario,"Via Tirso, 30, Salario, Roma 00198",4,50,€,4.3,85,https://www.zomato.com/roma/kilo-funny-burger-salario-roma/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16556120
25,Rome,"Roman, Grill, Italian",Fatto in Casa,Navona - Pantheon,"Via del Governo Vecchio, 127, Navona - Pantheon, Roma 00186",4,60,€,4.6,74,https://www.zomato.com/roma/fatto-in-casa-navona-pantheon/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16550354
26,Rome,"Roman, Italian",Felice a Testaccio,Testaccio,"Via Mastro Giorgio, 29, Testaccio, Roma 00153",4,80,€,4.6,68,https://www.zomato.com/roma/felice-a-testaccio-testaccio/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16555441
27,Rome,"Roman, Italian",Osteria Da Fortunata,Campo de' Fiori,"Via del Pellegrino, 12, Campo de' Fiori, Roma 00186",4,60,€,4.4,74,https://www.zomato.com/roma/osteria-da-fortunata-campo-de-fiori/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16555791
28,Rome,"Seafood, Fish and Chips, Modern European",Porto,Prati,"Via Crescenzio, 56, Prati, Roma 00193",4,50,€,4.3,77,https://www.zomato.com/roma/porto-prati-roma/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16555487
29,Rome,"Pizza, Burger, Italian",Bir & Fud,Trastevere,"Via Benedetta, 23, Trastevere, Roma 00153",4,50,€,4.5,82,https://www.zomato.com/roma/bir-fud-trastevere-roma/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16554583
30,Rome,"Pizza, Roman, Italian",Ivo a Trastevere,Trastevere,"Via di San Francesco a Ripa, 158, Trastevere, Roma 00153",4,50,€,4.3,74,https://www.zomato.com/roma/ivo-a-trastevere-trastevere-roma/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16555760
31,Rome,"Burger, Tapas, Spanish",100 Montaditos,Policlinico,"Via Tiburtina, 141, Policlinico, Roma 00185",2,25,€,3.7,146,https://www.zomato.com/roma/100-montaditos-policlinico/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16549722
32,Rome,Pizza,Alice Pizza,Navona - Pantheon,"Corso Vittorio Emanuele II, 35, Navona - Pantheon, Roma 186",1,15,€,4.2,48,https://www.zomato.com/roma/alice-pizza-navona-pantheon-roma/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16554047
33,Rome,Italian,Cul de Sac,Navona - Pantheon,"Piazza di Pasquino, 73, Navona - Pantheon, Roma 00186",3,40,€,4.3,57,https://www.zomato.com/roma/cul-de-sac-navona-pantheon/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16549853
34,Rome,"Pizza, Burger, Italian",Momart,Bologna,"Viale XXI Aprile, 19, Bologna, Roma 00162",4,50,€,3.9,177,https://www.zomato.com/roma/momart-bologna-roma/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16551810
35,Rome,Finger Food,Freni e Frizioni,Trastevere,"Via del Politeama, 4/6, Trastevere, Roma 00153",2,20,€,4.0,89,https://www.zomato.com/roma/freni-e-frizioni-trastevere-roma/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16555769
36,Rome,"Pizza, Roman, Grill, Mediterranean",Porto Fluviale,Ostiense,"Via del Porto Fluviale, 22, Ostiense, Roma 00154",4,50,€,3.9,119,https://www.zomato.com/roma/porto-fluviale-ostiense/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16555313
37,Rome,Panini,Panino Divino,Prati,"Via dei Gracchi, 11 A, Prati, Roma 00192",1,15,€,3.9,25,https://www.zomato.com/roma/panino-divino-prati-roma/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16553107
38,Rome,"Fusion, Sushi, Japanese, Brazilian",Temakinho,Monti,"Via dei Serpenti, 16, Monti, Roma 00184",4,70,€,4.5,54,https://www.zomato.com/roma/temakinho-monti/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16556441
39,Rome,"Cafe, Ice Cream, Desserts, Tavola Fredda",Pompi Il Regno del Tiramisù,Re di Roma,"Via Albalonga, 9, Re di Roma, Roma 00183",1,15,€,3.9,105,https://www.zomato.com/roma/pompi-il-regno-del-tiramisù-re-di-roma-roma/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,16552039
