IATA,Airport,Location,Area,Passenger Role,2010,2011,2012,2013,2014,2015,2016,2017
AAC,El Arish International Airport,El Arish,north_africa,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAE,Rabah Bitat Airport,Annaba,north_africa,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAL,Aalborg Airport,Aalborg,nordics,Small,0.0,0.0,0.0,0.0,0.0,1440477.0,0.0,0.0
AAN,Al Ain International Airport,Al Ain,middle_east,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAQ,Anapa Airport,Anapa,russia,Small,0.0,0.0,0.0,0.0,0.0,1178984.0,0.0,0.0
AAR,Aarhus Airport,Aarhus,nordics,Non-Hub,0.0,0.0,0.0,0.0,0.0,364546.0,0.0,0.0
ABA,Abakan International Airport,Abakan,russia,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABB,Asaba International Airport,"Asaba, Delta",west_africa,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABJ,Port Bouet Airport,Abidjan,west_africa,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABQ,Albuquerque International Sunport,Albuquerque,united_states,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4958417.0
ABV,Nnamdi Azikiwe International Airport,Abuja,west_africa,Medium,3922547.0,4216147.0,3679224.0,3945897.0,4159654.0,0.0,4191251.0,3462830.0
ABZ,Aberdeen Airport,Aberdeen,united_kingdom,Medium,0.0,0.0,3330126.0,3440765.0,3723662.0,3469525.0,0.0,0.0
ACA,General Juan N. Alvarez International Airport,Acapulco,north_america,Small,0.0,0.0,0.0,0.0,631570.0,730382.0,0.0,0.0
ACC,Kotoka International Airport,Accra,west_africa,Small,1387045.0,1585602.0,1726051.0,0.0,2547527.0,0.0,2381917.0,0.0
ACE,Lanzarote Airport,Lanzarote,spain,Medium,0.0,0.0,0.0,5334599.0,5882691.0,6124321.0,0.0,0.0
ACH,St. Gallen-Altenrhein Airport,St. Gallen,switzerland,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACY,Atlantic City International Airport,Atlantic City,united_states,Small,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADA,Şakirpaşa Airport,Adana,europe_misc,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADB,Adnan Menderes Airport,İzmir,europe_misc,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADD,Addis Ababa Bole International Airport,Addis Ababa,horn_of_africa,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADE,Aden International Airport,Aden,middle_east,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADJ,Amman Civil Airport,Amman,middle_east,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADL,Adelaide Airport,Adelaide,oceania,Medium,0.0,0.0,0.0,0.0,0.0,7670201.0,0.0,8090000.0
ADZ,Gustavo Rojas Pinilla International Airport,San Andrés,south_america,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AEP,Aeroparque Jorge Newbery,Buenos Aires,south_america,Medium,0.0,0.0,0.0,0.0,0.0,11052861.0,0.0,0.0
