,city,country,population
0,Chongqing,China,30165500
1,Xangai,China,17836133
2,Lagos,Nigéria,16060307
3,Carachi,Paquistão,13969284
4,Istambul,Turquia,0
5,Bombaim,Índia,12478447
6,Moscou,Rússia,12380664
7,São Paulo,Brasil,12106920
8,Pequim,China,11716620
9,Cantão,China,11185600
10,Deli,Índia,11007835
11,Shenzhen,China,10467400
12,Seul,Coreia do Sul,10388055
13,Jacarta,Indonésia,9988329
14,Kinshasa,República Democrática do Congo,9735000
15,Tianjin,China,9341844
16,Tóquio,Japão,9071577
17,Chennai,Índia,8981087
18,Cairo,Egito,8922949
19,Dhaka,Bangladesh,8906039
20,Cidade do México,México,8874724
21,Bangalore,Índia,8425970
22,Nova Iorque,Estados Unidos,8405837
23,Londres,Reino Unido,8308369
24,Bangkok,Tailândia,8280925
25,Dongguan,China,8220207
26,Teerã,Irão,8154051
27,Bogotá,Colômbia,7776845
28,Cidade de Ho Chi Minh,Vietnã,7681700
29,Hong Kong,China,7219700
30,Bagdá,Iraque,7180889
