Movie Id,Gender,All Ages,<18,18-29,30-44,45+
tt0499549,All,7.8,7.6,7.7,7.8,7.9
tt0499549,Males,7.8,7.5,7.7,7.8,7.9
tt0499549,Females,7.7,7.6,7.6,7.7,7.9
tt0449088,All,7.1,7.7,7.4,7.0,6.7
tt0449088,Males,7.0,7.7,7.3,7.0,6.6
tt0449088,Females,7.4,7.8,7.7,7.3,7.2
tt2379713,All,6.8,7.0,6.8,6.7,6.9
tt2379713,Males,6.8,7.0,6.8,6.7,6.9
tt2379713,Females,6.8,6.9,6.9,6.7,6.9
tt1345836,All,8.4,8.3,8.6,8.4,8.0
tt1345836,Males,8.4,8.3,8.6,8.4,8.0
tt1345836,Females,8.3,7.6,8.5,8.3,8.0
tt5289954,All,6.8,-,4.7,6.5,7.8
tt5289954,Males,6.3,-,4.5,6.4,7.8
tt5289954,Females,8.8,-,10.0,7.0,8.0
tt0401729,All,6.6,6.7,6.6,6.5,6.7
tt0401729,Males,6.6,6.7,6.6,6.5,6.6
tt0401729,Females,6.7,6.9,6.7,6.6,6.9
tt0413300,All,6.2,6.7,6.4,6.1,6.2
tt0413300,Males,6.2,6.7,6.4,6.1,6.2
tt0413300,Females,6.2,6.2,6.4,6.1,6.4
tt0398286,All,7.7,7.4,7.9,7.7,7.6
tt0398286,Males,7.6,7.3,7.6,7.6,7.5
tt0398286,Females,8.1,8.0,8.2,8.0,7.9
tt2395427,All,7.3,7.1,7.4,7.2,7.3
tt2395427,Males,7.2,7.0,7.3,7.2,7.2
tt2395427,Females,7.6,7.3,7.7,7.5,7.6
tt0417741,All,7.6,7.8,7.8,7.4,7.3
tt0417741,Males,7.4,7.6,7.7,7.3,7.2
tt0417741,Females,8.0,8.2,8.2,7.9,7.9
tt2975590,All,6.4,5.8,6.5,6.4,6.4
tt2975590,Males,6.5,5.8,6.5,6.4,6.4
tt2975590,Females,6.3,5.4,6.4,6.2,6.2
tt0348150,All,6.0,6.2,5.9,6.0,6.2
tt0348150,Males,6.0,6.3,5.9,6.0,6.2
tt0348150,Females,6.2,6.0,6.2,6.1,6.4
tt0830515,All,6.6,6.3,6.5,6.6,6.7
tt0830515,Males,6.6,6.3,6.5,6.6,6.7
tt0830515,Females,6.6,6.1,6.6,6.6,6.8
tt0383574,All,7.3,7.8,7.6,7.2,7.0
tt0383574,Males,7.3,7.8,7.6,7.2,6.9
tt0383574,Females,7.5,7.8,7.8,7.4,7.4
tt1210819,All,6.4,6.8,6.6,6.4,6.3
tt1210819,Males,6.4,6.7,6.5,6.4,6.3
tt1210819,Females,6.7,7.1,6.8,6.5,6.7
tt0770828,All,7.0,6.8,7.1,7.0,7.0
tt0770828,Males,7.1,6.8,7.1,7.1,7.0
tt0770828,Females,7.0,6.1,6.9,6.9,7.1
tt0499448,All,6.5,6.6,6.5,6.5,6.6
tt0499448,Males,6.4,6.5,6.4,6.4,6.5
tt0499448,Females,6.9,6.6,7.0,6.9,7.1
tt0848228,All,8.0,8.0,8.1,8.0,7.9
tt0848228,Males,8.0,8.0,8.0,8.0,7.9
tt0848228,Females,8.2,8.0,8.2,8.1,8.2
tt1298650,All,6.6,6.7,6.8,6.6,6.5
tt1298650,Males,6.6,6.6,6.7,6.5,6.4
tt1298650,Females,6.9,7.0,7.1,6.8,6.9
tt1409024,All,6.8,6.9,6.9,6.7,6.8
tt1409024,Males,6.8,6.9,6.9,6.7,6.7
tt1409024,Females,7.0,6.8,7.1,6.9,7.1
tt2310332,All,7.4,7.5,7.5,7.3,7.4
tt2310332,Males,7.3,7.5,7.4,7.3,7.3
tt2310332,Females,7.7,7.0,7.8,7.6,7.8
tt0948470,All,6.9,7.0,7.0,6.9,6.8
tt0948470,Males,6.9,7.0,6.9,6.9,6.8
tt0948470,Females,7.3,6.9,7.5,7.2,7.1
tt0955308,All,6.6,6.5,6.7,6.6,6.6
tt0955308,Males,6.6,6.4,6.7,6.6,6.6
tt0955308,Females,6.8,6.9,6.8,6.7,6.9
tt1170358,All,7.8,7.9,8.0,7.8,7.6
tt1170358,Males,7.8,7.9,7.9,7.7,7.6
tt1170358,Females,8.0,7.6,8.2,7.9,8.0
tt0385752,All,6.1,6.2,6.0,6.1,6.3
tt0385752,Males,6.0,6.2,5.9,6.0,6.2
tt0385752,Females,6.3,6.5,6.2,6.3,6.6
tt0360717,All,7.2,7.2,7.3,7.1,7.1
tt0360717,Males,7.2,7.1,7.3,7.2,7.1
tt0360717,Females,6.9,7.1,7.1,6.8,7.0
tt0120338,All,7.8,8.1,8.1,7.7,7.5
tt0120338,Males,7.7,8.2,8.0,7.7,7.4
tt0120338,Females,8.1,7.8,8.3,8.1,7.7
tt3498820,All,7.8,7.9,7.9,7.7,7.6
tt3498820,Males,7.8,7.8,7.9,7.7,7.6
tt3498820,Females,7.8,8.1,7.9,7.7,7.8
tt1440129,All,5.8,4.8,6.0,5.8,5.8
tt1440129,Males,5.8,4.9,5.9,5.8,5.7
tt1440129,Females,6.1,4.3,6.3,6.0,6.3
tt0369610,All,7.0,7.0,7.1,6.9,6.8
tt0369610,Males,6.9,7.0,7.0,6.8,6.8
tt0369610,Females,7.3,6.9,7.4,7.2,7.3
tt1074638,All,7.8,8.3,7.9,7.7,7.6
tt1074638,Males,7.7,8.3,8.0,7.7,7.6
tt1074638,Females,7.7,8.3,7.8,7.6,7.8
tt0316654,All,7.4,8.0,7.5,7.2,7.3
tt0316654,Males,7.4,8.0,7.6,7.3,7.3
tt0316654,Females,7.0,7.3,7.1,6.9,7.1
tt1300854,All,7.1,7.2,7.3,7.1,7.1
tt1300854,Males,7.1,7.1,7.2,7.1,7.1
tt1300854,Females,7.5,7.3,7.7,7.5,7.5
tt1014759,All,6.4,6.8,6.6,6.4,6.5
tt1014759,Males,6.3,6.6,6.3,6.3,6.4
tt1014759,Females,6.9,7.5,7.0,6.8,7.0
tt0376994,All,6.7,6.3,6.7,6.7,6.7
tt0376994,Males,6.6,6.3,6.6,6.6,6.7
tt0376994,Females,7.0,6.4,7.1,7.0,7.1
tt1453405,All,7.2,7.2,7.4,7.2,7.1
tt1453405,Males,7.2,7.2,7.3,7.2,7.0
tt1453405,Females,7.5,7.1,7.6,7.4,7.3
tt1055369,All,6.0,5.7,6.1,6.0,5.7
tt1055369,Males,5.9,5.7,6.0,6.0,5.7
tt1055369,Females,6.4,6.0,6.6,6.4,6.3
tt2109248,All,5.6,5.0,5.7,5.6,5.6
tt2109248,Males,5.6,5.1,5.6,5.6,5.6
tt2109248,Females,6.0,4.1,6.1,5.9,6.2
tt1623205,All,6.3,6.3,6.3,6.2,6.4
tt1623205,Males,6.3,6.5,6.3,6.3,6.4
tt1623205,Females,6.3,6.1,6.3,6.2,6.5
tt1872181,All,6.6,6.3,6.7,6.6,6.4
tt1872181,Males,6.5,6.2,6.6,6.5,6.3
tt1872181,Females,7.0,6.6,7.2,6.9,6.7
tt1104001,All,6.8,6.6,6.8,6.8,6.6
tt1104001,Males,6.8,6.8,6.8,6.8,6.6
tt1104001,Females,6.7,5.9,6.7,6.7,6.5
tt1216475,All,6.1,6.1,6.1,6.2,6.3
tt1216475,Males,6.2,6.0,6.1,6.2,6.2
tt1216475,Females,6.3,6.3,6.2,6.4,6.5
tt1133985,All,5.5,4.2,5.4,5.5,5.8
tt1133985,Males,5.5,4.3,5.3,5.5,5.8
tt1133985,Females,5.6,3.3,5.6,5.5,5.9
tt0435761,All,8.2,8.1,8.3,8.3,8.1
tt0435761,Males,8.3,8.2,8.4,8.3,8.1
tt0435761,Females,8.2,7.9,8.2,8.3,8.1
tt0438488,All,6.5,5.6,6.4,6.6,6.6
tt0438488,Males,6.5,5.5,6.4,6.6,6.6
tt0438488,Females,6.7,5.6,6.6,6.7,6.8
tt2820852,All,7.1,7.4,7.4,7.0,6.8
tt2820852,Males,7.0,7.4,7.3,6.9,6.8
tt2820852,Females,7.6,7.4,7.9,7.4,7.5
tt0816711,All,7.0,7.0,7.1,6.9,6.9
tt0816711,Males,6.9,7.1,7.1,6.9,6.9
tt0816711,Females,7.1,5.5,7.2,7.0,7.1
tt1877832,All,7.9,8.1,8.1,7.9,7.7
tt1877832,Males,7.9,8.1,8.1,7.9,7.7
tt1877832,Females,8.1,8.0,8.2,8.0,7.9
tt1408101,All,7.7,7.4,7.8,7.7,7.7
tt1408101,Males,7.7,7.3,7.8,7.6,7.6
tt1408101,Females,8.0,7.6,8.1,7.9,8.0
tt1351685,All,6.2,6.4,6.3,6.2,6.4
tt1351685,Males,6.2,6.2,6.3,6.2,6.4
tt1351685,Females,6.4,6.7,6.5,6.3,6.6
tt1343092,All,7.2,7.4,7.5,7.2,6.8
tt1343092,Males,7.1,7.4,7.4,7.1,6.8
tt1343092,Females,7.5,7.0,7.8,7.4,7.1
tt0473075,All,6.6,6.7,6.7,6.6,6.4
tt0473075,Males,6.5,6.6,6.7,6.6,6.4
tt0473075,Females,6.8,7.1,6.9,6.7,6.7
tt1663662,All,6.9,7.2,7.1,6.9,6.6
tt1663662,Males,6.9,7.2,7.1,6.9,6.6
tt1663662,Females,7.0,7.2,7.3,7.0,6.8
tt1399103,All,6.2,5.9,6.3,6.2,6.0
tt1399103,Males,6.2,6.0,6.3,6.2,5.9
tt1399103,Females,6.4,5.7,6.5,6.4,6.4
tt0367882,All,6.1,6.0,6.2,6.1,6.2
tt0367882,Males,6.1,5.9,6.1,6.1,6.2
tt0367882,Females,6.3,5.9,6.3,6.2,6.5
tt1979388,All,6.7,6.2,6.8,6.7,6.7
tt1979388,Males,6.6,6.2,6.7,6.6,6.7
tt1979388,Females,6.9,6.2,7.0,6.9,7.0
tt1217209,All,7.1,6.8,7.2,7.1,7.2
tt1217209,Males,7.0,6.7,7.1,7.0,7.1
tt1217209,Females,7.5,7.4,7.5,7.4,7.6
tt2660888,All,7.0,7.3,7.2,7.0,7.1
tt2660888,Males,7.0,7.0,7.1,6.9,7.0
tt2660888,Females,7.4,7.7,7.5,7.3,7.5
tt0910970,All,8.4,8.6,8.4,8.4,8.2
tt0910970,Males,8.4,8.7,8.5,8.4,8.2
tt0910970,Females,8.4,8.2,8.3,8.5,8.3
tt0293564,All,6.2,6.6,6.6,6.1,5.8
tt0293564,Males,6.2,6.6,6.6,6.1,5.8
tt0293564,Females,6.4,6.3,6.8,6.2,6.1
tt1190080,All,5.8,6.1,5.9,5.7,5.8
tt1190080,Males,5.8,6.1,5.8,5.7,5.8
tt1190080,Females,5.9,5.8,5.9,5.8,6.1
tt1067106,All,6.8,6.9,6.8,6.7,6.7
tt1067106,Males,6.7,6.9,6.8,6.7,6.7
tt1067106,Females,6.9,6.7,7.0,6.9,7.0
tt1617661,All,5.3,4.6,5.3,5.3,5.6
tt1617661,Males,5.3,4.2,5.2,5.2,5.5
tt1617661,Females,5.5,4.7,5.6,5.4,5.9
tt0918940,All,6.2,5.8,6.3,6.2,6.3
tt0918940,Males,6.1,5.8,6.2,6.1,6.2
tt0918940,Females,6.6,5.9,6.6,6.5,6.9
tt0363771,All,6.9,7.1,7.0,6.7,7.0
tt0363771,Males,6.7,7.1,6.9,6.6,6.9
tt0363771,Females,7.3,7.1,7.4,7.2,7.5
tt3385516,All,6.9,6.6,6.9,6.9,6.9
tt3385516,Males,6.8,6.5,6.8,6.8,6.8
tt3385516,Females,7.2,6.7,7.3,7.2,7.2
tt0468569,All,9.0,9.2,9.2,9.0,8.4
tt0468569,Males,9.0,9.3,9.3,9.1,8.5
tt0468569,Females,8.7,8.4,8.9,8.7,8.2
tt1049413,All,8.2,8.3,8.3,8.2,8.1
tt1049413,Males,8.2,8.4,8.3,8.2,8.1
tt1049413,Females,8.4,8.2,8.4,8.4,8.3
tt0892782,All,6.4,6.3,6.3,6.5,6.7
tt0892782,Males,6.5,6.2,6.3,6.5,6.6
tt0892782,Females,6.5,6.4,6.3,6.5,6.7
tt0371746,All,7.9,7.9,7.9,7.8,7.8
tt0371746,Males,7.8,7.9,7.9,7.8,7.8
tt0371746,Females,7.9,7.9,7.9,7.8,7.9
tt0970179,All,7.5,7.7,7.7,7.5,7.5
tt0970179,Males,7.5,7.7,7.7,7.4,7.4
tt0970179,Females,7.6,7.5,7.7,7.5,7.6
tt0120891,All,4.9,4.1,5.4,4.9,4.7
tt0120891,Males,4.9,3.2,5.4,4.9,4.7
tt0120891,Females,5.1,7.0,5.7,5.0,5.0
tt0859163,All,5.2,5.0,5.3,5.1,5.4
tt0859163,Males,5.2,5.0,5.3,5.1,5.4
tt0859163,Females,5.4,5.0,5.6,5.3,5.8
tt1386697,All,5.9,5.2,5.9,5.9,6.0
tt1386697,Males,5.8,5.1,5.8,5.8,6.0
tt1386697,Females,6.3,5.2,6.4,6.2,6.4
tt0413099,All,5.4,5.1,5.4,5.4,5.6
tt0413099,Males,5.4,4.9,5.4,5.3,5.5
tt0413099,Females,5.6,5.0,5.7,5.6,5.9
tt1631867,All,7.9,7.9,8.0,7.9,7.8
tt1631867,Males,7.9,8.0,8.0,7.9,7.8
tt1631867,Females,7.7,7.4,7.8,7.7,7.8
tt0114898,All,6.2,5.9,6.3,6.3,6.0
tt0114898,Males,6.2,5.7,6.3,6.3,6.0
tt0114898,Females,6.1,7.0,6.3,6.2,5.8
tt1046173,All,5.8,5.6,6.0,5.7,5.7
tt1046173,Males,5.7,5.6,5.9,5.7,5.7
tt1046173,Females,6.0,6.3,6.4,5.9,6.0
tt2096673,All,8.1,7.9,8.3,8.1,7.9
tt2096673,Males,8.1,7.9,8.3,8.1,7.9
tt2096673,Females,8.2,7.9,8.3,8.2,8.0
tt3040964,All,7.4,7.2,7.4,7.3,7.4
tt3040964,Males,7.3,7.2,7.4,7.3,7.4
tt3040964,Females,7.5,7.0,7.5,7.4,7.7
tt1228705,All,7.0,6.7,7.0,7.0,6.9
tt1228705,Males,6.9,6.7,6.9,6.9,6.9
tt1228705,Females,7.2,6.9,7.3,7.2,7.2
tt1735898,All,6.1,5.7,6.2,6.0,6.3
tt1735898,Males,6.0,5.4,6.1,6.0,6.2
tt1735898,Females,6.3,5.9,6.4,6.2,6.5
tt1587310,All,7.0,6.9,7.1,6.9,7.1
tt1587310,Males,6.8,6.8,6.8,6.7,7.0
tt1587310,Females,7.4,7.2,7.5,7.3,7.6
tt2103281,All,7.6,7.7,7.8,7.5,7.4
tt2103281,Males,7.6,7.7,7.8,7.5,7.4
tt2103281,Females,7.5,7.4,7.6,7.4,7.5
tt1321869,All,4.6,-,4.7,4.4,4.8
tt1321869,Males,4.5,-,4.6,4.3,4.7
tt1321869,Females,4.8,-,5.0,4.5,5.2
tt1335975,All,6.3,6.4,6.3,6.2,6.4
tt1335975,Males,6.2,6.2,6.3,6.2,6.3
tt1335975,Females,6.5,7.3,6.4,6.4,6.8
tt1843866,All,7.7,7.8,7.9,7.6,7.7
tt1843866,Males,7.7,7.8,7.9,7.6,7.6
tt1843866,Females,7.8,8.2,8.0,7.7,7.8
tt0892791,All,6.3,6.4,6.2,6.3,6.5
tt0892791,Males,6.3,6.4,6.1,6.3,6.4
tt0892791,Females,6.5,6.4,6.4,6.5,6.7
tt1964418,All,6.4,6.3,6.5,6.4,6.5
tt1964418,Males,6.4,6.4,6.5,6.4,6.5
tt1964418,Females,6.4,6.2,6.5,6.4,6.5
tt2245084,All,7.8,7.6,8.0,7.7,7.6
tt2245084,Males,7.7,7.6,7.8,7.7,7.6
